no,domain,AR,ratio,len0,r0_frac,htarget,mg_levels,qval,eig_method
1,cantilever,1,1,1,0.0625,0.5,5,5,jd
2,cantilever,1,1,1,0.0625,0.5,5,5,lanczos
3,cantilever,2,1,1,0.0625,0.5,5,5,jd
4,cantilever,2,1,1,0.0625,0.5,5,5,lanczos
5,cantilever,3,1,1,0.0625,0.5,5,5,jd
6,cantilever,3,1,1,0.0625,0.5,5,5,lanczos
7,cantilever,4,1,1,0.0625,0.5,5,5,jd
8,cantilever,4,1,1,0.0625,0.5,5,5,lanczos
9,cantilever,5,1,1,0.0625,0.5,5,5,jd
10,cantilever,5,1,1,0.0625,0.5,5,5,lanczos
11,michell,1,1,1,0.0625,0.5,5,5,jd
12,michell,1,1,1,0.0625,0.5,5,5,lanczos
13,michell,2,1,1,0.0625,0.5,5,5,jd
14,michell,2,1,1,0.0625,0.5,5,5,lanczos
15,michell,3,1,1,0.0625,0.5,5,5,jd
16,michell,3,1,1,0.0625,0.5,5,5,lanczos
17,michell,4,1,1,0.0625,0.5,5,5,jd
18,michell,4,1,1,0.0625,0.5,5,5,lanczos
19,michell,5,1,1,0.0625,0.5,5,5,jd
20,michell,5,1,1,0.0625,0.5,5,5,lanczos
21,mbb,0.5,1,1,0.0625,0.5,5,5,jd
22,mbb,0.5,1,1,0.0625,0.5,5,5,lanczos
23,mbb,1,1,1,0.0625,0.5,5,5,jd
24,mbb,1,1,1,0.0625,0.5,5,5,lanczos
25,mbb,1.5,1,1,0.0625,0.5,5,5,jd
26,mbb,1.5,1,1,0.0625,0.5,5,5,lanczos
27,mbb,2,1,1,0.0625,0.5,5,5,jd
28,mbb,2,1,1,0.0625,0.5,5,5,lanczos
29,mbb,2.5,1,1,0.0625,0.5,5,5,jd
30,mbb,2.5,1,1,0.0625,0.5,5,5,lanczos
31,lbracket,1,0.7,1,0.0875,0.35,4,5,jd
32,lbracket,1,0.7,1,0.0875,0.35,4,5,lanczos
33,lbracket,1,0.6,1,0.075,0.3,4,5,jd
34,lbracket,1,0.6,1,0.075,0.3,4,5,lanczos
35,lbracket,1,0.5,1,0.0625,0.25,4,5,jd
36,lbracket,1,0.5,1,0.0625,0.25,4,5,lanczos
37,lbracket,1,0.4,1,0.05,0.2,4,5,jd
38,lbracket,1,0.4,1,0.05,0.2,4,5,lanczos
39,lbracket,1,0.3,1,0.0375,0.15,4,5,jd
40,lbracket,1,0.3,1,0.0375,0.15,4,5,lanczos
